artifact_name,year,lat,lon,image_link
OrphГ©e charmant les animaux,1970.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-orphee-charmant-les-animaux_3.jpg?1527837357
Harpistes,1930.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-harpistes.jpg?1527822198
Saint Cecilia with an Angle Holding a Musical Score,1662.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-sainte-cecile-avec-ange.jpg?1527832007
Sainte CГ©cile Г  l'orgue entourГ©e d'anges,1793.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-sainte-cecile-l-orgue-entouree-d-anges_0.jpg?1527834980
"""Music"" stele",1881.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-stele-dite-musique.jpg?1527832754
The Concert: Singer and Theorbo Player,1794.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-concert%C2%A0-chanteuse-joueuse-luth.jpg?1527830006
"Young Woman Playing the Theorbo, known as La Finette",1869.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-finette.jpg?1527830694
Clock,1912.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-pendule.jpg?1527828374
Cock,1858.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-coq.jpg?1527824763
"Elephant tapestry, called ""L'Asie""",1995.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-tapisserie-l039elephant-dite-quotl039asiequot.jpg?1527828768
Lion and Snake,1836.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-lion-serpent_125.jpg?1527825190
"Les poissons du Nil, scГЁne de pГЄche",1969.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-les-poissons-nil-scene.jpg?1527818940
"Panneau : sphinx affrontГ©s sous le globe ailГ©,emblГЁme royal et divin",1911.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-panneau-sphinx-affrontes-sous.jpg?1527823237
Etude d'une grue couronnГ©e,1690.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-etude-d039une-grue-couronnee.jpg?1527819577
Bears carrying shields emblazoned with coats of arms,1969.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-ours-porteurs-d039ecus-armories.jpg?1527829089
Portrait of an Old Man and a Boy,1880.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-d039un-vieillard-d039un.jpg?1527831967
Clock: rhinoceros,1973.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-pendule-rhinoceros.jpg?1527828609
Cadran solaire,1999.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-cadran-solaire.jpg?1527817050
"Sarcophage, dit ""<b>Sarcophage des Г©poux</b>''",1863.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-sarcophage-dit-sarcophage-des.jpg?1527816969
Cartel,1787.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-cartel.jpg?1527817810
Wall clock,1911.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-cartel-d039applique.jpg?1527828073
Philopoemen,1831.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-philopoemen.jpg?1527825262
Diana,1828.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-spartacus.jpg?1527825223
,1861.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/sites/all/modules/custom/louvre_media/img/default_images/140x87.jpg
Louise Brongniart (1772-1845),1898.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-louise-brongniart-1772-1845_3.jpg?1527826055
Master Hare,1905.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-master-hare.jpg?1527819660
Portrait of an Old Man and a Boy,1880.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-d039un-vieillard-d039un.jpg?1527831967
Deux plaques : Multiplication des pains et des poissonsLe Christ dГ©signant un enfant,1909.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-deux-plaques-multiplication-des.jpg?1527817951
Shroud of a child's mummy,1948.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-linceul-d039enfant.jpg?1372988541
Le Pied-bot,1869.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-pied-bot.jpg?1527819257
The Young Beggar,1782.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-jeune-mendiant.jpg?1527829880
Woman carrying a child in a crib,1908.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-femme-portant-enfant-dans.jpg?1527832315
Neapolitan Fisherboy Playing with a Turtle by the Sea,2063.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-pecheur-napolitain-jouant-avec.jpg?1527825244
Saint Jerome and the Lion,1919.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-saint-jerome-lion.jpg?1527827355
Saint JГ©rГґme dans le dГ©sert,1923.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-saint-jerome-dans-desert.jpg?1527819375
