,0
404,Category:Stone circles in North Ayrshire
405,Category:Stone circles in Orkney
406,Category:Stone circles in Perth and Kinross
407,Category:Stone circles in Shetland
408,Category:Stone circles in Stirling (council area)
409,Category:Stone circles in Moray
410,Category:Stone circles in the Scottish Borders
411,Category:Stone circles in Wales
412,Category:Prehistoric sculpture
413,Category:Sculpture of the Ancient Near East
414,Category:Prehistoric art in Switzerland
415,Category:Prehistoric art in Turkey
416,Category:Steles
417,Category:3rd-millennium BC steles
418,Category:24th-century BC steles
419,Category:25th-century BC steles
420,Category:2nd-millennium BC steles
421,Category:16th-century BC steles
422,Category:15th-century BC steles
423,Category:13th-century BC steles
424,Category:12th-century BC steles
425,Category:1st-millennium BC steles
426,Category:9th-century BC steles
427,Category:8th-century BC steles
428,Category:7th-century BC steles
429,Category:4th-century BC steles
430,Category:3rd-century BC steles
431,Category:2nd-century BC steles
432,Category:Steles in Turkey
433,Category:Axumite steles
434,Category:Axumite obelisks
435,Category:Chinese steles
436,Category:Coats of arms with steles
437,Category:Funerary steles
438,Category:Korean steles
439,Category:Obelisks
440,Category:Obelisks by country
441,Category:Obelisks in Argentina
442,Category:Obelisks in Australia
443,Category:Obelisks in Sydney
444,Category:Obelisks in Canada
445,Category:Obelisks in China
446,Category:Obelisks in Denmark
447,Category:Obelisks in Ethiopia
448,Category:Obelisks in France
449,Category:Obelisks in Germany
450,Category:Obelisks in the Republic of Ireland
451,Category:Obelisks in Italy
452,Category:Obelisks in Florence
453,Category:Obelisks in Rome
454,Category:Obelisks in the Netherlands
455,Category:Obelisks in Norway
456,Category:Obelisks in Pakistan
457,Category:Obelisks in Portugal
458,Category:Obelisks in Romania
459,Category:Obelisks in Russia
460,Category:Obelisks in Singapore
461,Category:Obelisks in Spain
462,Category:Obelisks in Turkey
463,Category:Obelisks in Istanbul
464,Category:Obelisks in the United Kingdom
465,Category:Obelisks in England
466,Category:Obelisks in Scotland
467,Category:Obelisks in the United States
468,Category:Ancient obelisks
469,Category:Ancient Egyptian obelisks
470,Category:Lists of obelisks
471,Category:Victory steles
472,Category:Votive offering
473,Category:Votive churches
474,Category:Archaeological artifacts by century
475,Category:4th-century BC artefacts
476,Category:1st-century artifacts
477,Category:2nd-century artifacts
478,Category:3rd-century artifacts
479,Category:4th-century artefacts
480,Category:7th-century artifacts
481,Category:9th-century artifacts
482,Category:10th-century artifacts
483,Category:11th-century artifacts
484,Category:14th-century artefacts
485,Category:Archaeological discoveries by continent
486,Category:Archaeological discoveries in Africa
487,Category:Archaeological discoveries in Egypt
488,Category:Archaeological discoveries in Ethiopia
489,Category:Archaeological discoveries in South Africa
490,Category:Archaeological discoveries in Tanzania
491,Category:American Indian relics
492,Category:Native American pottery
493,Category:Native American potters
494,Category:Pueblo ceramics
495,Category:Archaeological discoveries in Asia
496,Category:Archaeological artifacts of China
497,Category:Bamboo and wooden slips
498,Category:Zhou dynasty bronzeware
499,Category:Archaeological discoveries in Iran
500,Category:Archaeological discoveries in Iraq
501,Category:Archaeological discoveries in Israel
502,Category:Archaeological discoveries in Jordan
503,Category:Archaeological discoveries in Russia
504,Category:Archaeological discoveries in Syria
505,"Category:Archaeological discoveries in Mari, Syria"
506,Category:Archaeological discoveries in Ugarit
507,Category:Archaeological discoveries in Turkey
508,Category:Treasure troves of Turkey
509,Category:Archaeological discoveries in Europe
510,Category:Archaeological discoveries in Austria
511,Category:Archaeological discoveries in Bulgaria
512,Category:Archaeological discoveries in Croatia
513,Category:Archaeological discoveries in Cyprus
514,Category:Archaeological discoveries in the Czech Republic
515,Category:Archaeological discoveries in Denmark
516,Category:Archaeological discoveries in Finland
517,Category:Archaeological discoveries in France
518,Category:Archaeological discoveries in Germany
519,Category:Treasure troves of Germany
520,Category:Archaeological discoveries in Greece
521,Category:Archaeological discoveries in Italy
522,Category:Etruscan artefacts
523,Category:Collections of the Villa Giulia
524,Category:Etruscan sculptures
525,Category:Etruscan sculptures of the Louvre
526,Category:Treasure troves of Italy
527,Category:Archaeological discoveries in Malta
528,Category:Minoan archaeological artifacts
529,Category:Archaeological discoveries in the Netherlands
530,Category:Archaeological discoveries in Portugal
531,Category:Archaeological discoveries in Slovakia
532,Category:Archaeological discoveries in Slovenia
533,Category:Archaeological discoveries in Spain
534,Category:Treasure troves of Spain
535,Category:Archaeological discoveries in Sweden
536,Category:Archaeological discoveries in Switzerland
537,Category:Archaeological discoveries in Ukraine
538,Category:Archaeological discoveries in the United Kingdom
539,Category:Archaeological artefacts from the River Thames
540,Category:Treasure troves in the United Kingdom
541,Category:Treasure troves in England
542,Category:Lists of hoards in Britain
543,Category:Treasure troves in Northern Ireland
544,Category:Treasure troves of Roman Britain
545,Category:Treasure troves in Scotland
546,Category:Treasure troves in Wales
547,Category:Mesoamerican artifacts
548,Category:Aztec artifacts
549,Category:Archaeological discoveries in South America
550,Category:Archaeological discoveries in Peru
551,Category:Archaeological theft
552,Category:Nazi-looted art
553,Category:Archaeological artefact groups
554,Category:Earliest known manuscripts by language
555,Category:Indo-European archaeological artifacts
556,Category:Celtic archaeological artifacts
557,Category:Germanic archaeological artifacts
558,Category:Germanic weapons
559,Category:Viking swords
560,Category:Runic inscriptions
561,Category:Elder Futhark inscriptions
562,Category:Alu (runic)
563,Category:Rovas script
564,Category:Stave churches
565,Category:Stave churches in Norway
566,Category:Replica of stave churches
567,Category:Replica of stave churches in Sweden
568,Category:Stave churches in Sweden
569,Category:Viking ship burials
570,Category:Viking ships
571,Category:Viking ship replicas
572,Category:Viking treasure troves
573,Category:Iranian archaeological artifacts
574,Category:Italic archaeological artifacts
575,Category:Thracian archaeological artifacts
576,Category:Dacian weapons
577,Category:Message artifacts
578,Category:Contents of the Voyager Golden Record
579,Category:Metal detecting finds
580,Category:Metal detecting finds in the Channel Islands
581,Category:Metal detecting finds in Ireland
582,Category:Metal detecting finds in the United Kingdom
583,Category:Metal detecting finds in England
584,Category:Metal detecting finds in Scotland
585,Category:Metal detecting finds in Wales
586,Category:Metal detecting finds in United States
587,Category:Out-of-place artifacts
588,Category:Pre-1606 contact with Australia
589,Category:Pre-Columbian trans-oceanic contact
590,Category:Norse colonization of North America
591,Category:Viking Age in Canada
592,Category:Vinland
593,Category:Former populated places in Greenland
594,Category:Ghost towns in Greenland
595,Category:Ruins in Greenland
596,Category:Treasure troves
597,Category:Treasure troves by continent
598,Category:Treasure troves of North America
599,Category:Treasure troves of the United States
600,Category:Treasure troves of Asia
601,Category:Treasure troves of Azerbaijan
602,Category:Treasure troves of India
603,Category:Treasure troves of South Korea
604,Category:Treasure troves in Ukraine
605,Category:Treasure troves of Europe
606,Category:Treasure troves of Medieval Europe
607,Category:Treasure troves in Jersey
608,Category:Treasure troves of Belgium
609,Category:Treasure troves of Belarus
610,Category:Treasure troves in Bulgaria
611,Category:Treasure troves of France
612,Category:Treasure troves in Hungary
613,Category:Treasure troves in Ireland
614,Category:Treasure troves in the Republic of Ireland
615,Category:Treasure troves of Poland
616,Category:Treasure troves in Romania
617,Category:Treasure troves in Russia
618,Category:Treasure troves in Slovakia
619,Category:Treasure troves by country
620,Category:Treasure troves in Denmark
621,Category:Treasure troves by period
622,Category:Treasure troves of the Bronze Age
623,Category:Treasure troves of classical antiquity
624,Category:Treasure troves of the Iron Age
625,Category:Treasure troves of Late Antiquity
626,Category:Hoards of jewellery

